Office	Candidate Name	Party	Machine Votes	Absentee Votes	Total Votes	Percent Votes	Election Date	Data as of
State Senator District 8	DAVID P. SOKOLA	Democratic Party	6,237	6,841	13,078	1	11/3/20	11/4/20 17:23
State Senator District 9	JACK WALSH	Democratic Party	7,472	5,081	12,553	0.6741	11/3/20	11/4/20 17:23
State Senator District 9	TODD RUCKLE	Republican Party	5,090	979	6,069	0.3259	11/3/20	11/4/20 17:23
State Senator District 12	NICOLE POORE	Democratic Party	13,546	8,057	21,603	1	11/3/20	11/4/20 17:23
State Senator District 13	MARIE PINKNEY	Democratic Party	9,170	4,693	13,863	0.7605	11/3/20	11/4/20 17:23
State Senator District 13	ALEXANDER M. HOMICH	Republican Party	3,658	707	4,365	0.2395	11/3/20	11/4/20 17:23
State Senator District 14	BRUCE C. ENNIS	Democratic Party	10,800	5,688	16,488	0.5949	11/3/20	11/4/20 17:23
State Senator District 14	CRAIG PUGH	Republican Party	9,700	1,529	11,229	0.4051	11/3/20	11/4/20 17:23
State Senator District 15	JACI HUGG	Democratic Party	6,982	4,789	11,771	0.4466	11/3/20	11/4/20 17:23
State Senator District 15	DAVID LAWSON	Republican Party	12,429	2,156	14,585	0.5534	11/3/20	11/4/20 17:23
State Senator District 19	BRIAN G. PETTYJOHN	Republican Party	12,103	4,220	16,323	1	11/3/20	11/4/20 17:23
State Senator District 20	GERALD W. HOCKER	Republican Party	16,701	7,299	24,000	1	11/3/20	11/4/20 17:23
State Representative District 1	NNAMDI O. CHUKWUOCHA	Democratic Party	6,012	3,215	9,227	1	11/3/20	11/4/20 17:23
State Representative District 2	STEPHANIE T. BOLDEN	Democratic Party	4,637	1,837	6,474	1	11/3/20	11/4/20 17:23
State Representative District 3	SHERRY DORSEY WALKER	Democratic Party	4,106	1,665	5,771	1	11/3/20	11/4/20 17:23
State Representative District 4	GERALD L. BRADY	Democratic Party	4,658	4,672	9,330	0.7003	11/3/20	11/4/20 17:23
State Representative District 4	JORDAN NALLY	Republican Party	3,084	909	3,993	0.2997	11/3/20	11/4/20 17:23
State Representative District 5	KENDRA JOHNSON	Democratic Party	5,950	2,784	8,734	1	11/3/20	11/4/20 17:23
State Representative District 6	DEBRA HEFFERNAN	Democratic Party	5,608	4,487	10,095	1	11/3/20	11/4/20 17:23
State Representative District 7	LARRY LAMBERT	Democratic Party	4,659	3,547	8,206	0.6715	11/3/20	11/4/20 17:23
State Representative District 7	JAMES W. HAUBRICH	Republican Party	3,162	667	3,829	0.3133	11/3/20	11/4/20 17:23
State Representative District 7	SCOTT A. GESTY	Libertarian Party	122	64	186	0.0152	11/3/20	11/4/20 17:23
State Representative District 8	SHERAE'A "RAE" MOORE	Democratic Party	4,738	2,695	7,433	0.5724	11/3/20	11/4/20 17:23
State Representative District 8	DANIEL ZITOFSKY	Republican Party	4,601	951	5,552	0.4276	11/3/20	11/4/20 17:23
State Representative District 9	DEBBIE HARRINGTON	Democratic Party	4,879	3,212	8,091	0.452	11/3/20	11/4/20 17:23
State Representative District 9	KEVIN S. HENSLEY	Republican Party	7,869	1,942	9,811	0.548	11/3/20	11/4/20 17:23
State Representative District 10	SEAN MATTHEWS	Democratic Party	5,033	3,944	8,977	1	11/3/20	11/4/20 17:23
State Representative District 11	JEFFREY N. SPIEGELMAN	Republican Party	7,136	1,669	8,805	1	11/3/20	11/4/20 17:23
State Representative District 12	KRISTA GRIFFITH	Democratic Party	4,523	4,736	9,259	0.5996	11/3/20	11/4/20 17:23
State Representative District 12	JEFFREY CRAGG	Republican Party	4,735	1,448	6,183	0.4004	11/3/20	11/4/20 17:23
State Representative District 13	JOHN L. MITCHELL JR.	Democratic Party	5,285	2,261	7,546	1	11/3/20	11/4/20 17:23
State Representative District 14	PETE SCHWARTZKOPF	Democratic Party	5,020	7,798	12,818	1	11/3/20	11/4/20 17:23
State Representative District 15	VALERIE LONGHURST	Democratic Party	5,472	3,640	9,112	0.6786	11/3/20	11/4/20 17:23
State Representative District 15	MICHAEL HIGGIN	Republican Party	3,461	627	4,088	0.3045	11/3/20	11/4/20 17:23
State Representative District 15	AMY A. MERLINO	Libertarian Party	155	72	227	0.0169	11/3/20	11/4/20 17:23
State Representative District 16	FRANKLIN D. COOKE JR.	Democratic Party	5,413	2,263	7,676	1	11/3/20	11/4/20 17:23
State Representative District 17	MELISSA MINOR-BROWN	Democratic Party	5,101	2,692	7,793	1	11/3/20	11/4/20 17:23
State Representative District 18	DAVID S. BENTZ	Democratic Party	5,016	2,756	7,772	1	11/3/20	11/4/20 17:23
State Representative District 19	KIMBERLY A. WILLIAMS	Democratic Party	4,779	2,594	7,373	1	11/3/20	11/4/20 17:23
State Representative District 20	STEPHEN T. SMYK	Republican Party	8,346	4,536	12,882	1	11/3/20	11/4/20 17:23
State Representative District 21	STEPHANIE BARRY	Democratic Party	3,402	2,648	6,050	0.4744	11/3/20	11/4/20 17:23
State Representative District 21	MICHAEL RAMONE	Republican Party	5,064	1,639	6,703	0.5256	11/3/20	11/4/20 17:23
